;Qty;Value;Device;Package;Parts;Description;MF;MPN;OC_FARNELL;OC_NEWARK
x;1;74HC04D;74HC04D;SO14;IC4;Hex INVERTER;;;;
x;1;74HC08D;74HC08D;SO14;IC6;Quad 2-input AND gate;;;;
x;1;ATMEGA32U4-AU;ATMEGA32U4-AU;TQFP44;MCU;http://www.ladyada.net/library/eagle;;;;
;1;AVRISP-BOX;AVRISP-BOX;AVRISP-BOX;U$4;AVR ISP HEADER;;;;
;1;;BATTERY18650;BATTERY_18650-HOLDER;BAT1;Battery Holders;;;;
;4;BI-LEVEL-LED-INDICATOR;BI-LEVEL-LED-INDICATOR;BI-LEVEL-LED-INDICATOR;U$1, U$11, U$18, U$19;;;;;
x;1;10u;CAP_CERAMIC_0805;_0805;C2;Ceramic Capacitors;;;;
x;1;22u;CAP_CERAMIC_0805;_0805;C9;Ceramic Capacitors;;;;
x;2;10u;CAP_CERAMIC_0805MP;_0805MP;C10, C11;Ceramic Capacitors;;;;
x;2;1u;CAP_CERAMIC_0805MP;_0805MP;C3, C5;Ceramic Capacitors;;;;
x;1;22u;CAP_CERAMIC_0805MP;_0805MP;C4;Ceramic Capacitors;;;;
x;1;100u;CAP_CERAMIC1206;1206;C12;Ceramic Capacitors;;;;
x;7;100n;C-EUC0603K;C0603K;C1, C8, C13, C14, C16, C17, C19;CAPACITOR, European symbol;;;;
x;2;22pf;C-EUC0603K;C0603K;C6, C7;CAPACITOR, European symbol;;;;
x;1;8mhz;CRYSTALHC49S;HC49/S;Q1;CRYSTAL;;;1667008;unknown
x;1;CD1206-S01575;DIODE-MINIMELF;MINIMELF;D2;DIODE;;;;
;1;MH2029;FERRITE_0805MP;_0805MP;FB1;Ferrite Bead;;;;
x;1;GLX-S-88M;GLX-S-88M;GLX-S-88M;X2;Mod. Jack, Right Angle, 8 posiotion, 8 contatcs RJ45;;;unknown;unknown
;1;DRA125-331-R;INDUCTORPWR;CDRH125;L1;Inductors;;;;
x;1;MAX631CPA;MAX631CPA;DIL08;IC3;Step-up SWITCHING REGULATOR;;;unknown;unknown
x;1;MCP73831/OT;MCP73831/OT;SOT23-5L;IC1;MCP73831/2;;;;
x;1;mini-usb;MINI-USB-SCHIELD-32005-301;32005-301;X1;MINI USB-B Conector;;;unknown;unknown
;2;MOUNT-HOLE3.0;MOUNT-HOLE3.0;3;H1, H2;MOUNTING HOLE with drill center marker;;;;
x;1;NE555D;NE555D;SO08;IC5;TIMER;;;;
;1;;PINHD-1X3;1X03;JP1;PIN HEADER;;;;
x;1;;PTC1206;1206;PTC2;PTC (Resettable Fuse);;;;
x;1;REG1117;REG1117;SOT223;IC2;800mA and 1A Low Dropout (LDO) Positive Regulator;;REG1117;1097566;14P6981
x;1;100;R-EU_R0603;R0603;R19;RESISTOR, European symbol;;;;
x;2;10k;R-EU_R0603;R0603;R6, R22;RESISTOR, European symbol;;;;
x;6;1k;R-EU_R0603;R0603;R3, R4, R5, R10, R11, R18;RESISTOR, European symbol;;;;
x;2;22;R-EU_R0603;R0603;R8, R9;RESISTOR, European symbol;;;;
x;6;220;R-EU_R0603;R0603;R7, R12, R13, R14, R15, R16;RESISTOR, European symbol;;;;
x;1;2k;R-EU_R0603;R0603;R1;RESISTOR, European symbol;;;;
x;1;470;R-EU_R0603;R0603;R2;RESISTOR, European symbol;;;;
x;1;SWITCH-MOMENTARY-2-SMD-1101NE;SWITCH-MOMENTARY-2-SMD-1101NE;TACTILE-SWITCH-1101NE;S2;Various NO switches- pushbuttons, reed, etc;;;;
x;1;TL36WO;TL36WO;TL3XWO;S1;TINY SWITCH ON - ON;;;;
x;2;;TRANSISTOR_NPNWIDE;SOT23-WIDE;Q2, Q3;NPN Transistor;;;;
x;1;PBSS4120T;TRANSISTOR_NPNWIDE;SOT23-WIDE;Q4;NPN Transistor;;;;
x;2;CG0603MLC-05E;VARISTOR-0603;0603-RES;Z1, Z2;Varistor;;;;
x;1;XBEE-PRO;XBEE-PRO;XBEE-PRO;XB1;XBee (TM) /XBee-PRO(TM) OEM RF Modules;;;;
