"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"2";"";"HEADER-1X2ROUND";"1X02_ROUND";"JP2, JP5";"PIN HEADER";"";"";"";"";
"3";"";"PINHD-1X3";"1X03";"JP1, JP3, JP4";"PIN HEADER";"";"";"";"";
"1";"";"TRANSISTOR_NPNWIDE";"SOT23-WIDE";"Q3";"NPN Transistor";"";"";"";"";
"1";"100";"R-EU_R0603";"R0603";"R19";"RESISTOR, European symbol";"";"";"";"";
"2";"100n";"C-EUC0603K";"C0603K";"C13, C17";"CAPACITOR, European symbol";"";"";"";"";
"2";"1k";"R-EU_R0603";"R0603";"R5, R18";"RESISTOR, European symbol";"";"";"";"";
"2";"220";"R-EU_R0603";"R0603";"R15, R16";"RESISTOR, European symbol";"";"";"";"";
"1";"74HC04D";"74HC04D";"SO14";"IC4";"Hex INVERTER";"";"";"";"";
"1";"BI-LEVEL-LED-INDICATOR";"BI-LEVEL-LED-INDICATOR";"BI-LEVEL-LED-INDICATOR";"U$19";"";"";"";"";"";
"1";"GLX-S-88M";"GLX-S-88M";"GLX-S-88M";"X2";"Mod. Jack, Right Angle, 8 posiotion, 8 contatcs RJ45";"";"";"unknown";"unknown";
"1";"NE555D";"NE555D";"SO08";"IC5";"TIMER";"";"";"";"";
"16";"SFH 309";"LED3MM";"LED3MM";"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LED16";"LED";"";"";"";"";
